index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
0,task-6-0,vm3,0.032382,34.625,34.656477,0.0
1,task-5-1,vm4,0.033506,45.04700000000048,45.094257,0.0
2,task-8-2,vm4,0.030908,39.51499999999942,39.54529,0.0
3,task-2-3,vm4,0.034668,43.20300000000134,43.244492,0.0
4,task-10-4,vm4,0.0,28.64099999999962,28.636238,0.0
5,task-3-5,vm1,24.209384,29.17200000000048,53.385297,24.17200000000048
6,task-4-6,vm4,0.033506,44.57800000000134,44.622194,0.0
7,task-4-7,vm4,0.033506,43.20300000000134,43.243489,0.0
8,task-7-8,vm3,0.030908,42.60900000000038,42.641942,0.0
9,task-3-9,vm3,22.2019,37.29700000000048,59.49814,22.15600000000086
10,task-9-10,vm3,0.029399,30.764999999999418,30.795041,0.0
11,task-1-11,vm1,53.386296,21.46899999999914,74.85614,53.34400000000096
12,task-7-12,vm1,0.032382,24.186999999999898,24.209384,0.0
13,task-9-13,vm2,0.029399,58.57799999999952,58.6073,0.0
14,task-1-14,vm4,28.636238,23.70299999999952,52.335661,28.59400000000096
15,task-8-15,vm3,0.030908,22.171000000000276,22.2019,0.0
16,task-2-16,vm2,58.608294,49.375,107.985049,58.5630000000001
17,task-5-17,vm4,0.033506,42.59400000000096,42.641406,0.0
18,task-6-18,vm2,0.032382,67.03100000000086,67.058482,0.0
19,task-10-19,vm4,0.027405,34.78100000000086,34.811833,0.0
